reple,star_score
결말이 왜 이렇냐? 영화를 만들다 만 느낌. 중간까지는 재밋었음,7
처음부터 끝까지 스트레스 없이 잘봤습니다. 그런데 빨간머리 여배우에게서 설리씨가 보였어요. 계속 눈이 가더라구요. 뭔가 되게 슬펐습니다.,10
거석이형님 매력미쳐버리네,10
생각한만큼 웃겼고ㅋㅋ 많이 슬프기도ㅠㅠ,10
좋아하는 배우들이 많이 나와서 더 좋았던 영화! 오랜만에 마음 따뜻해진다!,10
꿀잼이었습니다 ㅋㅋㅋㅋ 마블리의 캐릭터는 독보적이네요 다른 배우분들도 기존 연기와 또다른 모습이라 좋았습니다! 이른아침에 보긴했지만 재밌어서 시간가는지 몰라써요,10
배우들 케미 미쳤다 ㅋㅋㅋㅋ 마동석은 이런 정통 코미디에도 막강하네요 ㅋㅋㅋ,10
"마동석의 클래스, 박정민의 한방, 정해인의 재발견",10
"사실 큰 기대 안하고 보게 된건데 너무 웃겼음. 중간에 빵빵 터지는 요소들이 많았고, 역시 연기에 물오른 배우들이라 그런지 쉽지 않은 캐릭터를 완벽 소화해 놀라웠다. 아 결말은 역시 웹툰스러웠지만 그래도 추천할 영화...",10
"인생이힘들어도,사람속에서 살아야함을",10
적당한 재미와 적당한 감동이 부릉부릉~!연말에 웃으면서 가볍게 볼 수 있음.,10
음... 개연성 다 갖다버리고... 스토리 자체가 탄탄하지 못했어요. 웃겨보려고 시도는 많이 했는데 그것조차 너무 인위적이였어요. 사람마다 느끼는바는 다르겠지만... 인물은 많고 사건도 많지만 조잡한?,5
이게 재밌으면 당신은 행복한 사람입니다..,2
그냥 뭔 스토리인지 모르겟ㅁ다..,4
스토리가 왜이리 엉성한지??뭘 말하고 싶은건지???돈 아까비~~~~ㅠ,2
"웃기기도 하면서 진지하기도 하고 마지막에 감동 크,,",10
용두사미가 무엇인지 알 수 있는 영화. 시동만 걸다 끝남.,6
영화 진짜진짜 재밌네오. 힘이 들 땐 거석이형을 불러봐,10
주제가 뭔지기대했는데 정말 너무 재미없네요.알바들도 양심껏 쓰세요.,1
냉무:영화에 내용이 없다.,3
진짜 알바 제대로 풀었네. 평점 9점 넘길래 바로 봤는데 흐름도 뚝뚝 끊기고 갑자기 해피엔딩? 기승전결이 없이 갈등이 고조된 상태에서 갈등이 해결되는 장면없이 갑자기 해피엔딩으로 끝나버림. 웃긴장면이라고는 마동석이 ...,1
평점 알바인게 틀림없어요. 예고편에 마블리 모습이 웃겨서 극한직업류의 영화이겠거니 온가족이 보러왔다가 영화 끝나자마자 어이가 없어서 글 남깁니다. 평점과 관람평이 알바들 댓글스러워서 설마싶었는데 보고 나니 알바댓글인...,2
